WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (110.416664 -6.966667)",1.0,0.0,Kota Semarang,1.0,Kota,-6.966667,110.416664,active
"POINT (110.816666 -7.566667)",2.0,0.0,Kota Surakarta,2.0,Kota,-7.566667,110.816666,active
"POINT (110.492812 -7.33155)",3.0,0.0,Kota Salatiga,3.0,Kota,-7.331550,110.492812,active
"POINT (110.217713 -7.470474)",4.0,0.0,Kota Magelang,4.0,Kota,-7.470474,110.217713,active
"POINT (109.674591 -6.889836)",5.0,0.0,Kota Pekalongan,5.0,Kota,-6.889836,109.674591,active
"POINT (109.140167 -6.86917)",6.0,0.0,Kota Tegal,6.0,Kota,-6.869170,109.140167,active
"POINT (110.442897 -7.280833)",7.0,0.0,Kabupaten Semarang,7.0,Kabupaten,-7.280833,110.442897,active
"POINT (110.920798 -7.091027)",8.0,0.0,Kabupaten Grobogan,8.0,Kabupaten,-7.091027,110.920798,active
"POINT (110.647141 -6.890714)",9.0,0.0,Kabupaten Demak,9.0,Kabupaten,-6.890714,110.647141,active
"POINT (110.187926 -7.024087)",10.0,0.0,Kabupaten Kendal,10.0,Kabupaten,-7.024087,110.187926,active
"POINT (109.902052 -7.048148)",11.0,0.0,Kabupaten Batang,11.0,Kabupaten,-7.048148,109.902052,active
"POINT (109.675423 -7.01971)",12.0,0.0,Kabupaten Pekalongan,12.0,Kabupaten,-7.019710,109.675423,active
"POINT (109.399614 -7.006301)",13.0,0.0,Kabupaten Pemalang,13.0,Kabupaten,-7.006301,109.399614,active
"POINT (109.125595 -6.980457)",14.0,0.0,Kabupaten Tegal,14.0,Kabupaten,-6.980457,109.125595,active
"POINT (108.902683 -6.872803)",15.0,0.0,Kabupaten Brebes,15.0,Kabupaten,-6.872803,108.902683,active
"POINT (111.039444 -6.741944)",16.0,0.0,Kabupaten Pati,16.0,Kabupaten,-6.741944,111.039444,active
"POINT (110.840515 -6.804743)",17.0,0.0,Kabupaten Kudus,17.0,Kabupaten,-6.804743,110.840515,active
"POINT (110.678963 -6.58436)",18.0,0.0,Kabupaten Jepara,18.0,Kabupaten,-6.584360,110.678963,active
"POINT (111.350503 -6.709974)",19.0,0.0,Kabupaten Rembang,19.0,Kabupaten,-6.709974,111.350503,active
"POINT (111.412953 -6.972404)",20.0,0.0,Kabupaten Blora,20.0,Kabupaten,-6.972404,111.412953,active
"POINT (111.022534 -7.42654)",21.0,0.0,Kabupaten Sragen,21.0,Kabupaten,-7.426540,111.022534,active
"POINT (110.939568 -7.616133)",22.0,0.0,Kabupaten Karanganyar,22.0,Kabupaten,-7.616133,110.939568,active
"POINT (110.924233 -7.92718)",23.0,0.0,Kabupaten Wonogiri,23.0,Kabupaten,-7.927180,110.924233,active
"POINT (110.827086 -7.676059)",24.0,0.0,Kabupaten Sukoharjo,24.0,Kabupaten,-7.676059,110.827086,active
"POINT (110.619537 -7.711757)",25.0,0.0,Kabupaten Klaten,25.0,Kabupaten,-7.711757,110.619537,active
"POINT (110.593441 -7.5335)",26.0,0.0,Kabupaten Boyolali,26.0,Kabupaten,-7.533500,110.593441,active
"POINT (110.217598 -7.470389)",27.0,0.0,Kabupaten Magelang,27.0,Kabupaten,-7.470389,110.217598,active
"POINT (110.092608 -7.310571)",28.0,0.0,Kabupaten Temanggung,28.0,Kabupaten,-7.310571,110.092608,active
"POINT (109.90351 -7.364985)",29.0,0.0,Kabupaten Wonosobo,29.0,Kabupaten,-7.364985,109.903510,active
"POINT (110.008951 -7.74057)",30.0,0.0,Kabupaten Purworejo,30.0,Kabupaten,-7.740570,110.008951,active
"POINT (109.652241 -7.668722)",31.0,0.0,Kabupaten Kebumen,31.0,Kabupaten,-7.668722,109.652241,active
"POINT (109.244179 -7.514564)",32.0,0.0,Kabupaten Banyumas,32.0,Kabupaten,-7.514564,109.244179,active
"POINT (108.808559 -7.615141)",33.0,0.0,Kabupaten Cilacap,33.0,Kabupaten,-7.615141,108.808559,active
"POINT (109.363796 -7.3879)",34.0,0.0,Kabupaten Purbalingga,34.0,Kabupaten,-7.387900,109.363796,active
"POINT (109.674591 -7.391989)",35.0,0.0,Kabupaten Banjarnegara,35.0,Kabupaten,-7.391989,109.674591,active
"POINT (110.092468 -7.310347)",36.0,0.0,Kabupaten Temanggung,36.0,Kabupaten,-7.310347,110.092468,active
"POINT (109.651576 -7.677893)",37.0,0.0,Kabupaten Kebumen,37.0,Kabupaten,-7.677893,109.651576,active
