WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (112.75209 -7.257472)",1.0,0.0,Kota Surabaya,1.0,Kota,-7.257472,112.752090,active
"POINT (112.632629 -7.96662)",2.0,0.0,Kota Malang,2.0,Kota,-7.966620,112.632629,active
"POINT (112.524033 -7.871939)",3.0,0.0,Kota Batu,3.0,Kota,-7.871939,112.524033,active
"POINT (112.017928 -7.84804)",4.0,0.0,Kota Kediri,4.0,Kota,-7.848040,112.017928,active
"POINT (112.15935 -8.10029)",5.0,0.0,Kota Blitar,5.0,Kota,-8.100290,112.159350,active
"POINT (111.523089 -7.629445)",6.0,0.0,Kota Madiun,6.0,Kota,-7.629445,111.523089,active
"POINT (112.433812 -7.472157)",7.0,0.0,Kota Mojokerto,7.0,Kota,-7.472157,112.433812,active
"POINT (112.907761 -7.645539)",8.0,0.0,Kota Pasuruan,8.0,Kota,-7.645539,112.907761,active
"POINT (113.215591 -7.754332)",9.0,0.0,Kota Probolinggo,9.0,Kota,-7.754332,113.215591,active
"POINT (112.718333 -7.446667)",10.0,0.0,Kabupaten Sidoarjo,10.0,Kabupaten,-7.446667,112.718333,active
"POINT (112.655473 -7.156576)",11.0,0.0,Kabupaten Gresik,11.0,Kabupaten,-7.156576,112.655473,active
"POINT (112.431641 -7.4723)",12.0,0.0,Kabupaten Mojokerto,12.0,Kabupaten,-7.472300,112.431641,active
"POINT (112.233082 -7.545064)",13.0,0.0,Kabupaten Jombang,13.0,Kabupaten,-7.545064,112.233082,active
"POINT (112.334396 -7.126961)",14.0,0.0,Kabupaten Lamongan,14.0,Kabupaten,-7.126961,112.334396,active
"POINT (111.88112 -7.150975)",15.0,0.0,Kabupaten Bojonegoro,15.0,Kabupaten,-7.150975,111.881120,active
"POINT (111.874985 -6.897066)",16.0,0.0,Kabupaten Tuban,16.0,Kabupaten,-6.897066,111.874985,active
"POINT (111.694031 -7.625339)",17.0,0.0,Kabupaten Madiun,17.0,Kabupaten,-7.625339,111.694031,active
"POINT (111.433799 -7.46062)",18.0,0.0,Kabupaten Ngawi,18.0,Kabupaten,-7.460620,111.433799,active
"POINT (111.348287 -7.65405)",19.0,0.0,Kabupaten Magetan,19.0,Kabupaten,-7.654050,111.348287,active
"POINT (111.466686 -7.871042)",20.0,0.0,Kabupaten Ponorogo,20.0,Kabupaten,-7.871042,111.466686,active
"POINT (111.153915 -8.18097)",21.0,0.0,Kabupaten Pacitan,21.0,Kabupaten,-8.180970,111.153915,active
"POINT (111.70691 -8.06665)",22.0,0.0,Kabupaten Trenggalek,22.0,Kabupaten,-8.066650,111.706910,active
"POINT (111.902032 -8.065645)",23.0,0.0,Kabupaten Tulungagung,23.0,Kabupaten,-8.065645,111.902032,active
"POINT (112.161692 -8.095452)",24.0,0.0,Kabupaten Blitar,24.0,Kabupaten,-8.095452,112.161692,active
"POINT (112.097259 -7.777859)",25.0,0.0,Kabupaten Kediri,25.0,Kabupaten,-7.777859,112.097259,active
"POINT (111.904607 -7.594332)",26.0,0.0,Kabupaten Nganjuk,26.0,Kabupaten,-7.594332,111.904607,active
"POINT (112.657822 -8.20883)",27.0,0.0,Kabupaten Malang,27.0,Kabupaten,-8.208830,112.657822,active
"POINT (112.907268 -7.645027)",28.0,0.0,Kabupaten Pasuruan,28.0,Kabupaten,-7.645027,112.907268,active
"POINT (113.217229 -7.749855)",29.0,0.0,Kabupaten Probolinggo,29.0,Kabupaten,-7.749855,113.217229,active
"POINT (113.22454 -8.13352)",30.0,0.0,Kabupaten Lumajang,30.0,Kabupaten,-8.133520,113.224540,active
"POINT (113.668076 -8.184486)",31.0,0.0,Kabupaten Jember,31.0,Kabupaten,-8.184486,113.668076,active
"POINT (113.820679 -7.9672)",32.0,0.0,Kabupaten Bondowoso,32.0,Kabupaten,-7.967200,113.820679,active
"POINT (114.009761 -7.706857)",33.0,0.0,Kabupaten Situbondo,33.0,Kabupaten,-7.706857,114.009761,active
"POINT (114.369118 -8.219233)",34.0,0.0,Kabupaten Banyuwangi,34.0,Kabupaten,-8.219233,114.369118,active
"POINT (113.245012 -7.183899)",35.0,0.0,Kabupaten Sampang,35.0,Kabupaten,-7.183899,113.245012,active
"POINT (113.474953 -7.156574)",36.0,0.0,Kabupaten Pamekasan,36.0,Kabupaten,-7.156574,113.474953,active
"POINT (113.84964 -7.004882)",37.0,0.0,Kabupaten Sumenep,37.0,Kabupaten,-7.004882,113.849640,active
"POINT (112.913644 -7.040195)",38.0,0.0,Kabupaten Bangkalan,38.0,Kabupaten,-7.040195,112.913644,active
